# MSE: unfused / fused / fused_ptx
d,N,b,direction,unfused_us,fused_us,fused_ptx_us,speedup_fused_vs_unfused,speedup_ptx_vs_unfused,speedup_ptx_vs_fused,hbm_saved_mib
128,65536,1,quantize,1135.62,1031.17,982.02,1.101,1.156,1.050,64.0
128,65536,1,dequantize,1067.52,794.62,,1.343,,,64.0
128,65536,2,quantize,1136.64,965.74,955.90,1.177,1.189,1.010,64.0
128,65536,2,dequantize,1075.71,816.13,,1.318,,,64.0
128,65536,4,quantize,1341.44,1222.66,1191.94,1.097,1.125,1.026,64.0
128,65536,4,dequantize,1092.10,821.25,,1.330,,,64.0
128,262144,1,quantize,4889.09,4461.57,4028.93,1.096,1.213,1.107,256.0
128,262144,1,dequantize,5196.29,3298.30,,1.575,,,256.0
128,262144,2,quantize,4919.81,4248.58,4219.39,1.158,1.166,1.007,256.0
128,262144,2,dequantize,4496.38,3643.39,,1.234,,,256.0
128,262144,4,quantize,5832.19,5209.09,5256.70,1.120,1.109,0.991,256.0
128,262144,4,dequantize,4718.59,3651.07,,1.292,,,256.0
256,65536,1,quantize,2504.70,2209.28,2255.36,1.134,1.111,0.980,128.0
256,65536,1,dequantize,2405.38,1837.06,,1.309,,,128.0
256,65536,2,quantize,2516.48,2174.58,2169.34,1.157,1.160,1.002,128.0
256,65536,2,dequantize,2429.95,1869.82,,1.300,,,128.0
256,65536,4,quantize,2979.84,2755.58,2847.23,1.081,1.047,0.968,128.0
256,65536,4,dequantize,2452.99,1876.99,,1.307,,,128.0
256,262144,1,quantize,10988.03,9503.87,9698.82,1.156,1.133,0.980,512.0
256,262144,1,dequantize,10523.14,8156.67,,1.290,,,512.0
256,262144,2,quantize,11237.38,9870.34,9750.53,1.138,1.152,1.012,512.0
256,262144,2,dequantize,11276.85,8805.89,,1.281,,,512.0
256,262144,4,quantize,14325.25,13570.56,14150.66,1.056,1.012,0.959,512.0
256,262144,4,dequantize,12004.86,9422.34,,1.274,,,512.0
512,65536,1,quantize,5595.65,4522.56,4936.70,1.237,1.133,0.916,256.0
512,65536,1,dequantize,5377.02,4154.37,,1.294,,,256.0
512,65536,2,quantize,5460.48,4571.14,4881.92,1.195,1.119,0.936,256.0
512,65536,2,dequantize,5498.37,4433.92,,1.240,,,256.0
512,65536,4,quantize,6671.36,6674.43,6481.41,1.000,1.029,1.030,256.0
512,65536,4,dequantize,5575.17,4785.15,,1.165,,,256.0

# pack_signs: scalar / warp-ballot PTX
d,N,scalar_us,ptx_us,speedup_ptx_vs_scalar
128,65536,460.80,226.30,2.036
128,262144,2211.84,1053.70,2.099
256,65536,1140.74,541.70,2.106
256,262144,4177.41,1992.70,2.096
512,65536,1682.94,970.75,1.734
512,262144,6870.58,3872.77,1.774
